City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
265,Yakima,US,46.4665,-120.6678,66.2,18,1,10.36,clear sky
266,Provideniya,RU,64.3833,-173.3,30.2,59,0,4.47,clear sky
267,Tautira,PF,-17.7333,-149.15,78.8,89,75,13.8,light rain
268,Puerto Baquerizo Moreno,EC,-0.9,-89.6,76.98,86,61,7.76,broken clouds
269,Merrill,US,45.1805,-89.6835,37.0,51,90,6.91,overcast clouds
270,Zhanaozen,KZ,43.3,52.8,55.29,56,90,26.24,overcast clouds
271,Parkersburg,US,39.2667,-81.5615,64.4,36,20,5.75,few clouds
272,Udachnyy,RU,66.4167,112.4,8.46,91,96,2.42,overcast clouds
273,Roald,NO,62.5833,6.1333,39.2,87,90,8.05,overcast clouds
274,Danielskuil,ZA,-28.1887,23.5395,58.91,39,5,9.98,clear sky
275,San Andres,CO,12.5847,-81.7006,82.4,78,40,12.66,scattered clouds
276,Orapa,BW,-21.2833,25.3667,58.5,56,0,9.04,clear sky
277,Inhambane,MZ,-23.865,35.3833,69.62,86,15,7.36,light rain
278,Hami,CN,42.8,93.45,62.74,27,15,9.19,few clouds
279,Pali,IN,25.7667,73.3333,72.19,51,11,3.85,few clouds
280,Alofi,NU,-19.0595,-169.9187,84.2,79,75,13.8,broken clouds
281,Okhotsk,RU,59.3833,143.3,31.42,97,100,24.34,snow
282,Cotonou,BJ,6.3654,2.4183,84.2,79,40,9.22,scattered clouds
283,Madaoua,NE,14.073,5.96,93.15,22,73,6.44,broken clouds
284,Belawan,ID,3.7755,98.6832,77.0,100,40,3.69,mist
285,Buchanan,LR,5.8808,-10.0467,78.8,94,40,6.51,light rain
286,Staryy Nadym,RU,65.6118,72.6842,3.94,97,84,5.55,broken clouds
287,Leningradskiy,RU,69.3833,178.4167,35.94,72,45,7.02,scattered clouds
288,Skjervoy,NO,70.0311,20.9714,41.29,80,64,10.0,broken clouds
289,Goose Creek,US,32.981,-80.0326,68.0,64,40,9.22,scattered clouds
290,Bontang,ID,0.1333,117.5,78.1,88,100,8.55,overcast clouds
291,Wewak,PG,-3.5534,143.6268,82.8,70,100,4.65,overcast clouds
292,Ulladulla,AU,-35.35,150.4667,62.6,36,20,8.05,few clouds
293,Boljevac,RS,43.8303,21.9531,46.0,83,30,4.18,scattered clouds
294,Fort Saint James,CA,54.4333,-124.25,62.74,29,8,4.18,clear sky
295,Luderitz,NA,-26.6481,15.1594,69.96,58,15,5.95,few clouds
296,Barentu,ER,15.1139,37.5928,81.91,22,3,8.28,clear sky
297,Saint-Augustin,CA,51.226,-58.6502,40.96,67,97,10.58,overcast clouds
298,Katsuura,JP,35.1333,140.3,68.0,63,0,12.66,clear sky
299,Sevierville,US,35.8681,-83.5618,68.0,32,1,8.05,clear sky
300,Khartoum,SD,15.5518,32.5324,91.0,10,0,10.8,clear sky
301,Bonito,BR,-21.1211,-56.4819,74.32,42,19,1.83,few clouds
302,Pittsfield,US,42.4501,-73.2454,46.99,66,1,8.05,clear sky
303,Russell,US,32.3502,-85.1999,73.4,52,1,4.47,clear sky
304,Waipawa,NZ,-41.4122,175.5153,64.0,67,75,13.8,broken clouds
305,Goba,ET,7.0167,39.9833,49.6,83,71,3.49,broken clouds
306,Avera,US,33.194,-82.5271,69.8,68,1,3.44,clear sky
307,Inuvik,CA,68.3499,-133.7218,21.2,63,100,21.85,overcast clouds
308,Najran,SA,17.4924,44.1277,68.0,21,0,3.22,clear sky
309,Ushtobe,KZ,45.2514,77.9838,33.58,61,98,19.48,overcast clouds
310,Port Macquarie,AU,-31.4333,152.9167,70.0,51,10,1.99,clear sky
311,Atasu,KZ,48.6814,71.6433,23.61,43,0,14.12,clear sky
312,Constitucion,CL,-35.3333,-72.4167,58.39,89,99,19.69,overcast clouds
313,Rawlins,US,41.7911,-107.2387,30.2,40,1,4.61,clear sky
314,Buala,SB,-8.145,159.5921,86.38,69,82,6.13,light rain
